ResponseId,StartDate,OverallSatisfaction,OpenResponse,QuestionCategory
R_3jV7f2q5mlc83Cb,3/20/20 19:00,10,a  little high priced but great layout and service,3
R_Z4WOUVYHvESlBbH,12/14/18 7:01,7,A better format for printing the books would be awesome. I have a couple classes that had open-book finals but didn't allow use of computers.,1
R_1LRm6oEpsTofDjD,3/28/19 20:16,6,a bit clunky to get to my textbook.,5
R_3n324UEHe2KAEGJ,4/28/20 13:16,7,a bit expensive for something that isnt even paper,3
R_Yc4ObWoStb68kRX,1/30/19 11:38,7,A bit slow,3
R_2AZvkWbKDNZRV26,3/3/19 18:18,4,"A book i need is offered on publisher1, but is still asking for a payment.",2
R_1Q6ou5M8jF5qkB2,2/26/19 14:45,7,A book split up into different books that I required for class,4
R_2YnslvEvIKbm0qT,2/11/19 19:47,7,A book was not available that was promised to be on here,4
R_3PWVSKDFpAbeMoT,1/20/20 20:36,3,a bookstore aught to suffice,4
R_DRZNcyyOx84UDNT,2/4/20 16:15,1,A college student SHOULD NOT have to pay extra outside of tuition to do homework.,1
R_2zpSaDyt7K4GShI,3/17/19 13:54,10,"A decent layout to work with, nice study features and it keeps up with what items I am working on and completing.",5
R_2WNcgATb5PO1Use,1/23/20 16:38,9,A few of my classes have auxiliary materials that show up in a separate tile. This clutters up my dashboard and also makes it take longer to find the tile for my book.,1
R_2WNcgATb5PO1Use,1/23/20 16:38,9,"A few of my classes use older editions of the textbook and when looking up the book by ISBN, these additions are unavailable.",4
R_1jO4JbBt1X3QXN9,11/5/20 19:12,4,"A few of the graphics in my assignments are so low of quality that it is difficult to discern what they are depicting. This is important in chemistry - student do need to know if there are 3 or 2 Hydrogens attached to a Carbon. But when it is so blurred that you cannot tell what it says, you end up guessing and risk your grade. ",1
R_307BNo41YtFb2Ix,9/23/20 20:14,7,a few of the labs have had errors,1
R_OpRHCJ6JmkGQUJH,4/24/21 14:23,8,"A few of the tests have bright whight back grounds with  black writing, this can be visually disorienting for students with sensory issues. A majority of the backgrounds are a pale blueish-gray which is a less distracting or a color.  More example in the chapters descriptions would be beneficial.",1
R_3EQEcALMJwxuXZN,9/23/20 20:45,7,a few times troubles and no help from school and publisher1,1
R_3KVBQAFXl0myQhs,10/2/18 8:36,5,A four year old textbook in the technology world is unacceptable. If it's too difficult to update a DIGITAL textbook you need to learn how to make it easier. ,1
R_1NDP7kFj3UdReIs,1/19/19 0:02,1,A hassle to get the books you need for your class and that you need a code in order to access your class materials. ,2
R_3KVZvTbMFA6lzwo,3/27/20 14:20,9,A little awkward looking for my highlighted content. It is also closes session really quickly while I'm working on a paper. ,1
R_1ZjlIx2D8ECagzn,5/7/19 8:51,8,A little confusing,3
R_24iQXSNopPLFhzT,8/24/20 17:24,8,A little confusing,1
R_2eWpgeW2fQOfrk7,9/23/20 14:50,4,A little confusing trying to find everything on the home page.,1
R_AHyfeIndnyb7mHT,8/28/20 22:57,9,"A little hard to figure out, but it is very useful.",1
R_DoQExhDRNMMlSLf,7/29/19 23:34,8,a little high in price,3
R_2Etz5RweebjWna8,1/29/20 20:11,9,A little pricey but other than that it is okay.,3
R_1Cg7e8D6I02mAo8,3/1/20 17:15,7,a little pricey for students with low income,3
R_3O0QgINyl40q62D,3/24/20 12:08,7,a little tricky to deal with but very abundant ,4
R_ZKuwh6nZrI8D3ON,1/28/20 12:13,2,A lot about it is frustrating.,1
R_6zJivIJNJhVrXcR,4/24/19 14:29,8,A lot better format compared to another i currently use.,1
R_yUTAbbZtI2qcwCJ,10/4/18 1:51,4,"A lot of confusion between publisher1, platform1, and platform4. It would be less complicated if it was all called the same thing.",2
R_1Dv9gPY9NvMcRf7,11/27/18 13:30,4,"a lot of different drop down bars, some easy to miss",4
R_WdL65vSaFqXwnXr,4/1/21 21:12,9,"A lot of features, great selection of books, but the textbook rental could be improved.",1
R_Q4fusJ6qB87JbFf,9/12/20 18:14,7,"A lot of good content and exercises.  The accent toolbar gets in the way.  I know the key commands, so I really with I could disable the accent toolbar.  Also, the 'finish the sentence' exercises are often awkward (they usually come at the end of a chapter and are graded by instructor).  It would be easier to type my own sentences.",1
R_1lnl1svHwOj9qSY,4/25/19 15:04,4,A lot of information in the class is wrong. It teaches incorrect information and marks correct information as wrong.,1
R_2PAIhtNY3MJWeuo,9/26/20 16:07,10,A lot of information to help with studying.,1
R_Ah5LgY6gXJDL6Ol,12/11/18 18:03,7,A lot of money,3
R_12FQ5icZ4wyc92l,9/19/19 20:52,7,A lot of repetetive tests. slow servers and times out too quickly,1
R_1d4sJIWUuJSItDT,4/2/19 8:39,7,A lot of student donâ€™t know how to access their book ,1
R_1FOJeuB5njkaNpp,3/25/19 10:23,3,A lot of stuff doesn't work on my computer and it's very irritating.,1
R_2wvl4fCDobFKkeh,4/23/20 16:14,4,"A lot of the ""correct"" answers to questions are actually incorrect. I feel like I'm fighting to get the right answer more than I'm actually learning the content.",1
R_3fPn21UJj5dViag,9/30/18 21:52,7,a lot of the books I need were only ebook. was looking to rent them. also I found it difficult to find certain books.,4
R_BV8hyZxPsoAPRTz,9/30/20 19:02,7,A lot of the content is very wordy and I am not tested/quizzed over.,1
R_W1LpNGajE2j3nMt,4/26/20 20:17,1,"A lot of the materials I need do not load, especially the quizzes I am required to take.",5
R_1eWTLMOxUfIUbUO,2/19/20 13:47,1,"A lot of the problems for my class are actually programmed with the wrong answers, when I am a new student I do not know if I am write or not so I assume your system is and I wind up teaching myself the wrong way to come up with the answer you all have for the incorrect ones and have to reprogram myself when I find out it was wrong. Which is usually after I fail a test. J",1
R_3FOI43RJdV0Uj7U,2/20/19 14:13,8,A lot of the time my dashboard won't load without me refreshing what feels like a 100 times.,3
R_71VTzUrMQm3pB8R,2/23/19 20:08,7,A lot of the time publisher1 does not load so I cannot actually do my work. I have found when I open up a new internet browser it would load but it is just frustrating. I have also been done with an assignment and it will be loading to turn in and then delete my responses. Other than that I don't have any issues. ,1
R_1mxWh7QQataa7oU,8/28/20 20:01,5,"A lot of the time, the external links from the website do not work.",1
R_0SChZ4ljnoHFSgh,10/25/20 20:29,3,a lot of things do not work properly.,1
R_2ylTksQngopFmWf,9/30/20 15:39,6,"A lot of things seem to be hidden. For example, I often have to dig around to find changed due dates. An announcement board would be nice to have. I also dislike the UI of your media player; it's a bit clunky.",1
R_3CBn2ZdgnBbiFDD,3/10/20 22:38,3,A lot of times publisher1 is really clunky and incredibly cumbersome to use. ,1
R_3p2QL25gupC7NU4,9/23/20 16:43,1,"A lot of times when i put the right answer in but marks it wrong and when i make a more ""creative answer"" it marks it wrong as well. it only wants one way to answer but in spanish or in any other language there is always more than one way to answer a question. this program is very frustrating and i don't like it very much.",1
R_7UPiqUUcycRd9qp,2/5/20 18:07,10,A lot of tools to utilize to enhance the learning experience. Ebook helps alleviate the burden of carrying physical textbooks.,1
R_9FcPELXZzXF38sx,10/31/18 21:31,10,a lot of trouble trying to obtain a book. I think those books are suppose to be free for students ,3
R_XYYIvp9LTiFOs8h,9/14/20 0:10,1,a lot of work,1
R_1GOc9AzCrumDHJ1,11/5/20 19:30,10,"A low, flat-rate price to use publisher1 and all resources on publisher1 for either a semester, a year or 2 years deserves over a 10 rating.",1
R_2dDWvARIo1UEOIm,1/18/19 12:04,3,"A more in-depth video concerning everything that is possible with publisher1 might be good. I think publisher1 needs to be explained a little more and have some visual examples about how to use it, because sometimes it is hard to tell if it is working the way it needs to be for the individual. When I first purchased publisher1 and even now if you go to the product2 page it still gives you the option to purchase it again as if you never purchased it which can be confusing.",1
R_1F5PvFVLecp7ikK,7/4/19 16:41,2,A nightmare to navigate and get to the information I need to complete my assignments.,1
R_1ozKxXJyYyFe2ST,10/4/20 17:28,4,"A poor contact with professor, limited time to answer questions that require analysis and calculation, the priority is the time not the content, excessive evaluations that don'y allow to study, that is, the student only pays attention to the content of the question ",1
R_30nNBsKjY3dM1dN,3/26/19 12:08,7,"A pop up keeps popping up for try something for free, and it gets annoying",1
R_2dfEuRCZ6ZrDazs,10/4/18 17:47,2,A rental book should not have so much cost when we are already paying for the online books.  We also had problems with shipping and actually getting the books in paper form. ,1
R_1NFaFgwYfP3jbv5,4/1/20 4:05,6,"A representative guided my class through everything at the beginning of the semester, so it was very simple.",4
R_24iVR4LeLsXQ1nU,3/10/19 21:42,7,A search feature for every textbook would take my rating up to 9.,1
R_1DUQ2lmwvc3pCkU,7/10/19 22:54,1,"A service outage caused my courses to disappear from my account for over 4 hours while I was trying to study for a midterm. I get logged out for inactivity with no warning and have to completely re-enter the publisher1.com address in order to log back in. I use virtual servers in my Network Security Fundamentals class that glitch out and cause me to have to restart the labs 3 to 5 times because the virtual servers won't shut down properly. This usually adds about 1 to 2 hours to the time I spend on these labs waiting for the program to behave properly. With all the money this company gets from so many students across the country, I'd think it would have better web support and design.",1
R_pDAqk4F8VWcqmSl,3/30/20 19:17,8,"A tutorial is given, but I am never inclined to watch it. I do like how easy it is for me to navigate without watching/ going through the tutorial. ",5
R_4OS1DqTMSJYy2w9,3/14/19 12:58,9,A variety of options to learn from,4
R_bsaLHIUa88BJ5mx,3/9/20 19:06,10,A very good study resource. Assignment questions are clearly stated and the immediate feedback publisher1 provides makes it possible to hone in on any problem areas which may have been encountered. The savings gained by not having to buy a series of hard-copy textbooks is also appealing. ,1
R_1P19QX3qIvxYFVD,2/22/20 15:10,10,a very helpful tool that help me with my studies,1
R_xlQdSSuU2ZsmFIB,2/11/19 17:20,4,"A vital section of my textbook is missing, and the online textbooks can be rather difficult to navigate.",2
R_12svU4X7hfF5UKJ,12/11/18 8:29,4,A waste of money. Was not hard to sign up for just did not meet expectations. ,3
R_dj6ykFGMYNuEoLv,2/23/19 19:49,4,A white and red box keeps appearing on my dashboard and it won't give me an option to close it so I can't access my homework.,2
R_2CNhBelnkFXXy6Q,2/19/19 21:41,1,A white blank page pops up with a red bar and it doesn't allow me to access anything.,2
R_2pXdgfvi71bqBAg,12/11/18 19:07,1,â€¦ notifications,3
R_2rBgVFGtjkTaFP2,12/5/19 11:40,10,A+ for what you guys are doing here,1
R_cTPDPmP5Dmw0tep,3/10/20 13:01,10,ability to highlight and review notes from text is great,1
R_263JY6aL3T3nidD,11/30/20 16:02,10,able to have all textbooks in one place,1
R_2X0BJNBdTkz5BXS,3/28/19 18:57,3,Able to navigate,5
R_1LSTdzaeH44Y1ut,3/10/19 21:28,1,Absolute rip off of a price,1
R_12eUVMMRE29Rpkp,9/2/20 13:08,1,absolutely difficult nd overpriced,1
R_1QasQ126CwtrUEq,4/30/19 11:26,1,Absolutely hate publisher1 ,1
R_1IrUHiPOmdjWNoR,1/30/19 7:00,1,Absolutely livid.,3
R_1d0QMm247wWkTVY,2/4/19 13:59,7,access ,3
R_2rjURRYDHFpRfUo,12/2/18 16:23,6,access / preview,3
R_2rG8tBl4ADd3orP,4/15/20 19:23,2,access and inputting for acct102 is horrible.  the software is not user friendly  i had to get the hadcopy book,1
R_2TGczAg3TH7NJQm,2/7/19 10:03,1,Access code given was not the full 18 key,3
R_29aydJG0lVOt0Hu,8/24/20 14:44,1,Access code i purchase continue to say invalid and called and couldn't get any live person (tech support) on phone .  Spoke with chat and it wants me to reach out to instructor. So I Reached to instructor no word yet.  I am having a ruff time.  I need my books to do the assigned home work.  i hope help come soon.  I am not happy camper.  ,1
R_1kIHF0JhVN7aq6i,10/4/18 12:16,1,access code issue ,4
R_29o9gYGqfena87M,1/23/19 6:58,2,"Access code issues, said it was expired but it was a new code",2
R_31cNN4XJXvhOFy3,11/15/18 18:09,7,access codes ,3
R_0CbCePmcb8yfpYd,1/10/19 1:31,3,Access codes have been denied at the beginning of several  school semesters. Waiting for long periods of time only to have the same problem occur even when the tech support says that it has resolved the issues. ,2
R_Rgygodt9JzxaYKJ,2/25/19 16:16,10,Access Codes should more accessible for those who subscribe to publisher1.,1
R_31cNN4XJXvhOFy3,11/15/18 18:09,7,access codes were not properly explained ,2
R_2upoUPd499ZVQWL,1/15/19 9:20,9,Access codes would not stay registered had to call publisher1 to get it to work.,2
R_11imNuvQ6zcvsnM,7/30/19 9:42,6,access is not always easy.,1
R_1ozCAhZnPOxvfmQ,4/11/20 1:55,10,access is simple and easy to manage. no time wasted,1
R_3oEY7d1PWDyHGT7,2/24/20 16:59,10,access online and offline is great,1
R_21p1MbVgBi5qGbn,3/29/21 14:42,10,"Access to all my books in 1 place for 1 flat rate. Also you have the ability to rent a few hard copies for free and more for a cheap price if you desire. The ability to look at books you're instructor has not selected is also great, in my case the professor has the wrong book selected, but it could also be used to get information from a different perspective or year",1
R_1dLy7nOkQg5k8Hy,3/23/21 18:13,10,Access to all the info we need to succeed in this course. ,1
R_3HS6NbvRExHwWgS,4/29/20 16:56,10,Access to E-books for a decent price. Especially with publisher1.,1
R_1HkST13EeLqH8Pf,7/11/19 10:27,10,Access to everything .,1
R_3fIemeoi1LtIgfO,11/11/20 11:04,7,Access to homework via mobile apps,1
R_1hX3d0Z43r3WT5a,3/2/21 17:25,6,"access to homework, videos, etc. is too crammed. Also e-book format is odd and not like a book at all. Can't exactly explain it but publisher3 education is better. Take note!",1
R_XuMDwHueIFLfLm9,4/6/20 10:49,10,Access to many textbooks especially at this point of time.,1
R_ZrhAF54eGsgBt0B,3/16/20 14:53,9,Access to resources is a great benefit and tool.,1
R_9mN7DchXNrQY3eN,4/26/19 12:49,10,access to texbooks and assignments for classes.,1
R_2ZJiIKjwRCWJfvR,2/25/21 13:44,3,"access to the textbook is not easy. im unable to hi light in the full text book option, and all of the picture pop outs are small and I have to scroll around to see or read the whole picture",1
R_2e59ZprBT3nPmDE,2/18/19 12:04,5,Access.,4
R_25GYsNulX6Em1SS,2/10/19 21:28,7,"Accessibiility. Its complicated to get where i need to be within the website
",4
R_2vepQ8OF4sn4ihT,10/6/20 18:40,10,accessibility,1
R_3R3M5qw5bZ5Gu8X,9/12/20 14:56,6,Accessibility and design could improve.,1
R_DIdJJeHkETatPjz,3/20/19 12:58,7,Accessible on the phone,5
R_265SNruILiS0jJ8,3/4/20 19:28,4,accessing and viewing different courses is too complicated,1
R_3fBpzOsGBuov4B8,12/4/18 10:16,6,accessing books,2
R_2eb6PGsSqtH1hkv,9/18/19 16:29,3,"Accessing courseware, taking notes, completing assignments is too difficult...  not user friendly and too easily interrupted; no recovery",1
R_3KVlAqrcEzM01Ks,2/20/19 15:37,7,Accessing Dashboard is difficult at times. It is very slow and takes a long time to load about 80% of the time.,1
R_1DYy1CzxPXrPaZ2,10/4/18 11:27,4,accessing iLrn has been a pain because of the difficulty to find book codes,4
R_Zl4gwwj5cuMZDwZ,4/24/20 2:05,10,"Accessing my class materials was very easy, as was linking my class materials through Blackboard to my publisher1 account.",4
R_1E1bB7Gi3SIqXnZ,3/27/20 18:23,6,"Accessing the E-book is finicky.  It takes me several tries to access it, it keeps saying that there is an error 404 the four or five times I try before it actually produces the textbook",1
R_D5CF7bCbF5aQQPD,3/2/20 20:19,8,"Accessing the materials are great. Your app updates have been fantastic, I downloaded the app in spring of 2019 and honestly it needed a lot of work. Now I redownloaded it and it is much better and easier to use. The advanced audio function is my favorite. Some glitches don't make it work all the time, but when they do its a great help. The listening option online, however, really needs improving.",1
R_UlJsoF29UKOyt0t,12/4/18 19:57,8,Accessing the Product1 rental was very convoluted and confusing.,2
R_3De7OyI3SK1VqPq,10/1/20 19:58,10,Accessing the textbook and accompanying materials is easy.,1
R_2SotEj6QaQMRU3b,11/14/18 20:33,1,"According to all known laws
of aviation,

  
there is no way a bee
should be able to fly.

  
Its wings are too small to get
its fat little body off the ground.

  
The bee, of course, flies anyway

  
because bees don't care
what humans think is impossible.",1
R_29gEQlaOSfvOPDC,2/25/20 19:51,5,Accounting on publisher1 is very difficult to understand because terms my professor uses are different than terms on publisher1,5
